iter	RMSE
0	71.17216915
1	69.45276386
2	67.69367292
3	66.23490495
4	64.69008371
5	63.11673092
6	61.55778484
7	60.05213957
8	58.66671481
9	57.36374202
10	55.95023292
11	54.6538723
12	53.38145185
13	52.13168373
14	50.87537002
15	49.73776058
16	48.61143798
17	47.43729085
18	46.31334307
19	45.29059957
20	44.28380367
21	43.31995944
22	42.30879504
23	41.37539361
24	40.40784426
25	39.47275381
26	38.51558526
27	37.67820826
28	36.8491149
29	36.01738084
30	35.19594921
31	34.39579199
32	33.65543033
33	32.95076092
34	32.28837873
35	31.6327422
36	31.00818632
37	30.37250185
38	29.74870419
39	29.12824524
40	28.47421597
41	27.8509489
42	27.23344618
43	26.62130367
44	26.05465362
45	25.51893632
46	25.00212826
47	24.47205202
48	23.96881387
49	23.45833124
50	23.00369952
51	22.56199487
52	22.07886101
53	21.61643704
54	21.22248874
55	20.7947424
56	20.38056947
57	19.99381295
58	19.60829982
59	19.27142659
60	18.89755893
61	18.52534725
62	18.15610711
63	17.81583897
64	17.46832607
65	17.13080213
66	16.82742095
67	16.51343347
68	16.23027848
69	15.91664695
70	15.61722205
71	15.32167775
72	15.06057691
73	14.80573652
74	14.55491314
75	14.28104032
76	14.02721159
77	13.79963941
78	13.54745015
79	13.30692529
80	13.07728936
81	12.87336557
82	12.65265384
83	12.4159754
84	12.21138137
85	11.99694859
86	11.81709327
87	11.60283447
88	11.40242596
89	11.21727384
90	11.04221956
91	10.86517125
92	10.69859285
93	10.54478114
94	10.36942264
95	10.24752561
96	10.08036974
97	9.924956288
98	9.791205847
99	9.658115122
100	9.523288861
101	9.384469504
102	9.245293782
103	9.109691514
104	8.979356154
105	8.850317825
106	8.709827793
107	8.604878772
108	8.465198981
109	8.347747999
110	8.2504914
111	8.131094061
112	8.020040315
113	7.91551603
114	7.803937599
115	7.72051366
116	7.617604225
117	7.507641163
118	7.411753301
119	7.315023529
120	7.20716614
121	7.105308482
122	7.020501851
123	6.940176491
124	6.866381391
125	6.793425983
126	6.705529243
127	6.641069943
128	6.567770422
129	6.492189936
130	6.413850504
131	6.354825441
132	6.282499101
133	6.215027368
134	6.150910573
135	6.085865325
136	6.012593551
137	5.954802823
138	5.884933235
139	5.81666634
140	5.752632532
141	5.699987059
142	5.635423752
143	5.577704027
144	5.523150673
145	5.471463394
146	5.428663122
147	5.399463475
148	5.35515236
149	5.303474937
150	5.252749346
151	5.202245883
152	5.15474053
153	5.09743358
154	5.051977999
155	5.008011404
156	4.960070654
157	4.91781442
158	4.877151225
159	4.838869231
160	4.800799844
161	4.75538944
162	4.712858322
163	4.685389646
164	4.65066168
165	4.617475976
166	4.574731738
167	4.542232504
168	4.502066518
169	4.467320958
170	4.433737757
171	4.396084278
172	4.359657406
173	4.329419944
174	4.300106393
175	4.268132203
176	4.243823797
177	4.209702869
178	4.18115434
179	4.153845838
180	4.126499605
181	4.108803365
182	4.085865697
183	4.062526234
184	4.038744581
185	4.016066432
186	3.990611078
187	3.966424898
188	3.943466078
189	3.917330383
190	3.895172489
191	3.871478655
192	3.854058595
193	3.831691815
194	3.809823148
195	3.786606003
196	3.761107596
197	3.74050071
198	3.718400645
199	3.702472428
200	3.681808843
201	3.667163568
202	3.647432491
203	3.626195743
204	3.610570129
205	3.595682274
206	3.581401751
207	3.562435441
208	3.543280627
209	3.524160599
210	3.509811734
211	3.498003594
212	3.481282223
213	3.469631804
214	3.458173449
215	3.446710844
216	3.429306005
217	3.41221928
218	3.391889321
219	3.377937305
220	3.365111501
221	3.351584702
222	3.341066712
223	3.32519662
224	3.312236077
225	3.30063822
226	3.28915438
227	3.271829743
228	3.254806256
229	3.246784114
230	3.230135858
231	3.21649141
232	3.209899054
233	3.191038799
234	3.182495533
235	3.171264729
236	3.157837363
237	3.145028816
238	3.131515354
239	3.122294
240	3.110698507
241	3.098811238
242	3.087513651
243	3.077551463
244	3.071381397
245	3.063003984
246	3.051455035
247	3.04102012
248	3.036787172
249	3.027288582
250	3.017834428
251	3.011042483
252	3.001511108
253	2.991741335
254	2.987227623
255	2.981613646
256	2.97303217
257	2.966434876
258	2.959053772
259	2.942991102
260	2.930354461
261	2.923418197
262	2.910324785
263	2.89687852
264	2.890980235
265	2.881200359
266	2.876199952
267	2.866504019
268	2.861200471
269	2.855838452
270	2.840538847
271	2.830616877
272	2.823954735
273	2.818052744
274	2.814610755
275	2.806025725
276	2.800122844
277	2.79517898
278	2.780810801
279	2.777666699
280	2.764292653
281	2.755382961
282	2.741924826
283	2.737733577
284	2.733367169
285	2.728840651
286	2.723524706
287	2.714654759
288	2.701079684
289	2.696788538
290	2.682796804
291	2.671656686
292	2.667932556
293	2.657163182
294	2.650549178
295	2.646919942
296	2.642978043
297	2.632479231
298	2.624563647
299	2.613675244
300	2.604711617
301	2.597450366
302	2.586746231
303	2.575921404
304	2.572026405
305	2.55863797
306	2.550166365
307	2.543170215
308	2.534311743
309	2.520496126
310	2.514383464
311	2.504017447
312	2.494458964
313	2.488690227
314	2.482985379
315	2.477997923
316	2.468433721
317	2.460896813
318	2.448468669
319	2.438591973
320	2.429774872
321	2.421280264
322	2.416404886
323	2.403970531
324	2.400083645
325	2.395077114
326	2.387526182
327	2.382489806
328	2.371395669
329	2.365518516
330	2.355801571
331	2.34584343
332	2.334799437
333	2.325664798
334	2.321305406
335	2.317278256
336	2.30999138
337	2.302871163
338	2.297136766
339	2.292561515
340	2.289969016
341	2.287889424
342	2.279434852
343	2.272594022
344	2.270544937
345	2.268306462
346	2.266375891
347	2.257545282
348	2.255252569
349	2.247500697
350	2.239740067
351	2.237634973
352	2.231274618
353	2.229432259
354	2.223152464
355	2.221526818
356	2.219786303
357	2.218089386
358	2.216152954
359	2.205733752
360	2.203830644
361	2.201973164
362	2.190409917
363	2.182595637
364	2.176524393
365	2.171186674
366	2.165360588
367	2.160135099
368	2.156948365
369	2.15373005
370	2.144186737
371	2.142777297
372	2.137140008
373	2.131851453
374	2.126804695
375	2.121691588
376	2.111365207
377	2.107577444
378	2.102783275
379	2.097598099
380	2.096305523
381	2.094748916
382	2.09358416
383	2.085755146
384	2.077979437
385	2.070663134
386	2.062888593
387	2.058261467
388	2.054549831
389	2.049424403
390	2.043185802
391	2.039782617
392	2.036016922
393	2.034153596
394	2.027210528
395	2.021066674
396	2.019335547
397	2.011499136
398	2.006433934
399	2.004027343
400	2.000193699
401	1.996509365
402	1.993504064
403	1.987063776
404	1.984165108
405	1.979270313
406	1.976765238
407	1.969468428
408	1.964497377
409	1.963655204
410	1.960057538
411	1.956729045
412	1.951980409
413	1.95018713
414	1.94408737
415	1.938581536
416	1.930929386
417	1.929371231
418	1.925684778
419	1.923969079
420	1.920615348
421	1.918823586
422	1.915267281
423	1.911138182
424	1.909509146
425	1.902359389
426	1.898248478
427	1.895271454
428	1.892666545
429	1.889265445
430	1.883574226
431	1.87753644
432	1.876099057
433	1.871633327
434	1.870847936
435	1.864734659
436	1.863037584
437	1.862318146
438	1.859919639
439	1.856179277
440	1.852125246
441	1.850470914
442	1.847236713
443	1.843886401
444	1.836581825
445	1.834973529
446	1.830444161
447	1.828516053
448	1.827518276
449	1.826835901
450	1.822041544
451	1.821367269
452	1.818308065
453	1.813835654
454	1.810849493
455	1.808183836
456	1.80069059
457	1.799318207
458	1.794791683
459	1.793574112
460	1.792838365
461	1.792163876
462	1.789055714
463	1.78640159
464	1.78162096
465	1.777402053
466	1.775774827
467	1.771260292
468	1.768699829
469	1.767215598
470	1.763040861
471	1.759746097
472	1.758293103
473	1.754592114
474	1.751270696
475	1.748840556
476	1.74546442
477	1.740685841
478	1.73787506
479	1.734653356
480	1.729630433
481	1.726425268
482	1.722310377
483	1.720831887
484	1.719380202
485	1.718030215
486	1.71533596
487	1.714068463
488	1.710275479
489	1.705320671
490	1.702899798
491	1.701635597
492	1.696881003
493	1.694207095
494	1.690368921
495	1.686143079
496	1.683182885
497	1.679197976
498	1.676411266
499	1.674514803
